_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
deg,deg, , , ,mag,deg,deg,mas,mas/yr,mas/yr,mas,mag, ,deg,deg
--------------,--------------,------,-----------,-----------,-----,------------,------------,-------,--------,--------,------,------,-,------------,------------
110.7691936,18.27341166,35803,07 23 04.63,+18 16 24.6,6.78,110.7692874,18.27351374,22.68,-36.66,-42,1.09,0.455, ,110.7691936,18.27341166
110.778459,-70.6366116,35809,07 23 06.92,-70 38 12.0,6.75,110.7788435,-70.63667142,7.6,-52.44,24.61,0.52,1.076, ,110.7784591,-70.6366116
110.8316632,-36.34014749,35830,07 23 19.60,-36 20 24.6,6.74,110.8316733,-36.34016723,1.21,-3.35,8.12,0.59,-0.131, ,110.8316632,-36.34014749
110.8672382,22.94534916,35842,07 23 28.15,+22 56 43.6,6.17,110.8673066,22.94543651,10.46,-25.93,-35.94,0.96,0.006, ,110.8672382,22.94534916
110.8687968,25.05053128,35846,07 23 28.55,+25 03 02.2,5.04,110.8689755,25.05060041,21.17,-66.59,-28.44,0.91,0.902, ,110.8687968,25.05053128
110.8708015,-27.83429354,35848,07 23 28.97,-27 50 03.4,5.37,110.8707289,-27.83428348,5.94,26.39,-4.14,0.65,1.539, ,110.8708015,-27.83429354
110.8828973,-32.20206752,35855,07 23 31.90,-32 12 07.5,5.41,110.8829198,-32.20207858,2.82,-7.85,4.55,0.51,-0.169, ,110.8828973,-32.20206752
110.9742354,-17.41343553,35884,07 23 53.86,-17 24 48.2,6.84,110.9744171,-17.41338174,29.37,-71.33,-22.13,0.79,0.489, ,110.9742354,-17.41343553
110.9768057,-30.21701055,35887,07 23 54.44,-30 13 01.3,6.61,110.9768212,-30.21702088,1.56,-5.51,4.25,0.58,-0.198, ,110.9768057,-30.21701055
110.9930618,-35.83782358,35893,07 23 58.34,-35 50 16.3,6.32,110.9930905,-35.83786094,4.68,-9.57,15.37,0.52,-0.136, ,110.9930618,-35.83782358
111.0237606,-29.3031036,35904,07 24 05.71,-29 18 11.2,2.45,111.023771,-29.30311979,1.02,-3.76,6.66,0.57,-0.083, ,111.0237606,-29.3031036
111.0333111,-28.82788197,35906,07 24 08.00,-28 49 40.4,6.79,111.0333306,-28.82789633,1.63,-7.02,5.91,0.61,-0.15, ,111.0333111,-28.82788197
111.0352844,40.67238935,35907,07 24 08.47,+40 40 20.8,5.23,111.0352951,40.67244066,4.48,-3.35,-21.11,0.96,1.249, ,111.0352844,40.67238935
111.0391071,-58.49194861,35910,07 24 09.48,-58 29 32.2,6.58,111.0395154,-58.49228286,20.61,-87.79,137.52,0.53,0.71, ,111.0391071,-58.49194861
111.0718088,-22.91275803,35920,07 24 17.24,-22 54 46.0,6.2,111.0718205,-22.91276481,5,-4.42,2.79,0.73,-0.088, ,111.0718089,-22.91275803
111.0726718,-18.34815972,35922,07 24 17.46,-18 20 53.8,6.95,111.0727325,-18.34827383,7.69,-23.7,46.95,0.85,0.243, ,111.0726718,-18.34815972
111.1023815,10.24566812,35929,07 24 24.58,+10 14 44.5,6.9,111.1024112,10.24569021,1.77,-12.02,-9.09,0.93,0.917, ,111.1023815,10.24566812
111.1152,15.51719525,35933,07 24 27.65,+15 31 01.9,6.47,111.1152037,15.51719894,0.67,-1.48,-1.52,0.86,-0.19, ,111.1152,15.51719525
111.1393895,27.63785656,35941,07 24 33.44,+27 38 16.1,5.77,111.1393502,27.63781901,15.57,14.32,15.45,1.37,0.368, ,111.1393895,27.63785656
111.1546986,-71.47065691,35946,07 24 37.11,-71 28 14.7,6.49,111.1546398,-71.47075644,12.9,7.69,40.95,0.49,0.12, ,111.1546986,-71.47065691
111.1674482,-16.20147272,35951,07 24 40.19,-16 12 05.1,5.18,111.1674599,-16.20142374,3.45,-4.65,-20.15,0.73,-0.035,P,111.1674482,-16.20147272
111.182723,-31.80890499,35957,07 24 43.87,-31 48 32.1,5.35,111.1827842,-31.80892621,5.91,-21.37,8.73,0.7,1.071, ,111.182723,-31.80890499
111.1973108,-37.29119316,35960,07 24 47.36,-37 17 28.5,6.14,111.197351,-37.29126075,4.7,-13.16,27.81,0.88,0.261,P,111.1973108,-37.29119316
111.2120096,-19.01227944,35975,07 24 50.88,-19 00 44.2,6.24,111.2120175,-19.01228875,1.83,-3.04,3.83,0.76,0.291, ,111.2120096,-19.01227944
111.2378656,51.88725855,35984,07 24 57.08,+51 53 14.4,5.8,111.2378284,51.88734396,2.84,9.46,-35.14,0.83,1.61, ,111.2378656,51.88725855
111.2424142,11.6695236,35987,07 24 58.19,+11 40 10.4,5.37,111.2424546,11.66955984,10.28,-16.29,-14.91,0.93,0.105, ,111.2424142,11.6695236
111.2783056,-14.8832228,35995,07 25 06.80,-14 52 59.6,6.76,111.2783539,-14.88323228,6.85,-19.22,3.9,0.74,0.042, ,111.2783056,-14.8832228
111.2831954,-21.17385333,35997,07 25 07.97,-21 10 25.9,6.8,111.2831995,-21.17386366,0.22,-1.57,4.25,1.35,0.117, ,111.2831955,-21.17385333
111.2846478,-13.75197777,35998,07 25 08.44,-13 45 07.1,5.79,111.2851555,-13.75197556,28.72,-202.9,-0.91,0.77,0.432, ,111.2846478,-13.75197777
111.3332305,-21.98259115,36017,07 25 19.98,-21 58 57.4,6.04,111.3332347,-21.98259839,1.03,-1.61,2.98,0.83,0.227, ,111.3332305,-21.98259115
111.3415069,81.25745606,36019,07 25 21.97,+81 15 27.1,6.3,111.3415437,81.25753345,3.92,-2.3,-31.84,0.59,-0.031, ,111.3415069,81.25745606
111.3552827,-25.21776666,36024,07 25 25.27,-25 13 04.0,5.79,111.355306,-25.2177645,1.01,-8.66,-0.89,0.7,-0.103, ,111.3552827,-25.21776666
111.3905866,-19.43774177,36034,07 25 33.74,-19 26 15.9,6.9,111.3905966,-19.43774845,2.28,-3.91,2.75,0.89,1.513, ,111.3905866,-19.43774177
111.3970619,20.49513988,36035,07 25 35.30,+20 29 42.7,6.92,111.3970664,20.49519778,7.99,-1.74,-23.82,1.72,0.332, ,111.3970619,20.49513988
111.4087348,-79.09418819,36039,07 25 38.19,-79 05 39.1,5.54,111.4091187,-79.09420265,6.99,-29.88,5.95,0.48,1.281, ,111.4087348,-79.09418819
111.4120707,9.276097326,36041,07 25 38.90,+09 16 34.0,4.99,111.412078,9.27611835,3.3,-2.95,-8.65,0.88,0.991, ,111.4120707,9.27609733
111.4290813,-31.73872057,36045,07 25 42.99,-31 44 19.4,6.32,111.4291065,-31.7387318,3.3,-8.83,4.62,0.58,-0.176, ,111.4290813,-31.73872057
111.4316505,27.7980804,36046,07 25 43.68,+27 47 53.8,3.78,111.4319837,27.79828561,25.9,-121.28,-84.43,0.91,1.024, ,111.4316505,27.7980804
111.4633344,-5.774960867,36055,07 25 51.20,-05 46 29.8,5.98,111.4633491,-5.77495377,1.72,-6.02,-2.92,0.83,0.901, ,111.4633344,-5.77496087
111.4665218,48.54776603,36056,07 25 51.97,+48 32 52.2,6.77,111.466532,48.54783287,5.22,-2.76,-27.5,0.89,-0.047, ,111.4665218,48.54776603
111.4755404,18.14747266,36060,07 25 54.13,+18 08 51.0,6.93,111.475538,18.14750224,1.45,0.91,-12.17,0.99,0.895, ,111.4755404,18.14747266
111.4837452,-14.17876418,36068,07 25 56.10,-14 10 43.5,6.82,111.4837566,-14.1787557,3.61,-4.54,-3.49,0.8,0.031, ,111.4837452,-14.17876418
111.4884048,-2.24846875,36071,07 25 57.23,-02 14 54.1,6.99,111.4884433,-2.24835274,28.07,-15.83,-47.73,0.9,0.568, ,111.4884048,-2.24846875
111.5141178,-4.537374716,36080,07 26 03.39,-04 32 14.4,6.78,111.5141268,-4.53733398,6.21,-3.7,-16.76,0.9,-0.008, ,111.5141178,-4.53737472
111.5150474,-15.66591736,36081,07 26 03.65,-15 39 56.4,6.88,111.5152108,-15.66566543,23.59,-64.75,-103.65,0.9,0.62, ,111.5150474,-15.66591736
111.5910441,-51.01848117,36114,07 26 21.86,-51 01 06.6,5.09,111.5910654,-51.01849597,5.8,-5.5,6.09,0.47,1.038, ,111.5910441,-51.01848117
111.6054131,-10.08950146,36120,07 26 25.30,-10 05 22.2,6.97,111.6054363,-10.08949147,5.26,-9.38,-4.11,0.93,0.175, ,111.6054131,-10.08950146
111.6157773,10.60806677,36123,07 26 27.81,+10 36 29.0,6.38,111.6158661,10.60806626,10.33,-35.9,0.21,1,0.078, ,111.6157773,10.60806677
111.6492666,-13.18898215,36134,07 26 35.83,-13 11 20.3,6.93,111.6492827,-13.18897894,2.41,-6.48,-1.32,0.89,-0.005, ,111.6492666,-13.18898215
111.6695135,-23.71261349,36140,07 26 40.69,-23 42 45.4,6.62,111.6695449,-23.71262489,4.1,-11.85,4.69,0.77,-0.002, ,111.6695135,-23.71261349
111.6717237,11.00883282,36141,07 26 41.22,+11 00 31.9,6.39,111.6717373,11.00885807,2.58,-5.49,-10.39,1.02,-0.126, ,111.6717237,11.00883282
111.6769407,-34.14069246,36143,07 26 42.47,-34 08 26.5,5.9,111.6769645,-34.14070792,3.35,-8.1,6.36,0.58,-0.153, ,111.6769407,-34.14069246
111.6785471,49.21152684,36145,07 26 42.86,+49 12 41.9,4.61,111.6785873,49.21164489,13.11,-10.79,-48.57,0.79,-0.001, ,111.6785471,49.21152684
111.7093861,21.53564511,36152,07 26 50.45,+21 32 08.6,6.54,111.7102039,21.53571074,32.43,-312.96,-27,0.91,0.464, ,111.7093861,21.53564511
111.7347101,20.25755681,36156,07 26 56.33,+20 15 27.3,5.94,111.7347042,20.25758199,8.04,2.26,-10.36,1.04,0.336, ,111.7347101,20.25755681
111.743871,43.25841764,36163,07 26 58.53,+43 15 30.4,6.66,111.743874,43.25844467,2.76,-0.89,-11.12,1.02,1.37, ,111.743871,43.25841764
111.7478455,-23.08602346,36168,07 26 59.49,-23 05 09.7,5.65,111.747863,-23.08603328,2.3,-6.65,4.04,0.7,-0.134, ,111.7478455,-23.08602346
111.78329,-17.86486132,36186,07 27 07.99,-17 51 53.5,5.6,111.7832983,-17.86486511,11.63,-3.27,1.56,0.95,0.314, ,111.78329,-17.86486132
111.7876777,8.289315475,36188,07 27 09.07,+08 17 21.9,2.89,111.7878012,8.28940893,19.16,-50.28,-38.45,0.85,-0.097, ,111.7876777,8.28931548
111.7879794,11.95499501,36189,07 27 09.12,+11 57 18.0,6.58,111.7879979,11.95500568,3.74,-7.47,-4.39,0.88,0.903, ,111.7879794,11.95499501
111.8497068,39.31506303,36207,07 27 24.00,+39 18 54.9,6.99,111.8500018,39.31523613,13.65,-93.91,-71.22,1.15,1.026, ,111.8497068,39.31506303
111.8561101,-51.40260111,36210,07 27 25.73,-51 24 09.3,6.72,111.8572216,-51.40259511,44.43,-285.3,-2.47,0.53,0.694, ,111.8561101,-51.40260111
111.8576602,66.33157133,36211,07 27 25.84,+66 19 53.9,6.47,111.85768,66.33164165,3.65,-3.27,-28.93,0.74,-0.064, ,111.8576602,66.33157133
111.8920935,38.66606464,36224,07 27 34.11,+38 39 58.1,6.92,111.8921308,38.66614553,7.18,-11.97,-33.28,1.02,0.9, ,111.8920936,38.66606464
111.8936861,-18.49188789,36225,07 27 34.49,-18 29 30.8,6.92,111.8936983,-18.49187627,5.09,-4.76,-4.78,0.82,-0.084, ,111.8936861,-18.49188789
111.9189045,22.1414591,36232,07 27 40.54,+22 08 29.3,6.78,111.9189286,22.1414715,2.06,-9.2,-5.1,0.94,1.68,P,111.9189045,22.1414591
111.9289073,-22.85919859,36236,07 27 42.94,-22 51 33.1,5.98,111.9289107,-22.85919757,3.7,-1.28,-0.42,0.7,-0.088, ,111.9289073,-22.85919859
111.9348474,21.44524741,36238,07 27 44.39,+21 26 44.0,5.2,111.9349769,21.44554856,29.38,-49.56,-123.9,1.39,0.455, ,111.9348474,21.44524741
111.9652556,-11.55686729,36251,07 27 51.66,-11 33 24.7,5.79,111.9652608,-11.55686168,3.23,-2.13,-2.31,1.39,0.583,W,111.9652556,-11.55686729
111.9965026,-29.15589616,36258,07 27 59.17,-29 09 21.2,5.55,111.9965307,-29.1559018,4.84,-10.12,2.32,0.56,-0.048, ,111.9965026,-29.15589616
111.9989418,-2.882179642,36260,07 27 59.74,-02 52 55.7,6.89,111.998913,-2.88214576,6.96,11.82,-13.94,0.91,1.011, ,111.9989418,-2.88217964
112.0080378,-26.83897405,36264,07 28 01.92,-26 50 20.4,6.26,112.0080058,-26.838996,4.91,11.75,9.03,0.74,1.513, ,112.0080378,-26.83897405
112.0086446,6.94196793,36265,07 28 02.08,+06 56 31.5,5.22,112.0086529,6.94207694,9.28,-3.38,-44.85,0.95,0.221, ,112.0086446,6.94196793
112.0360127,46.52169398,36281,07 28 08.65,+46 31 18.5,6.86,112.0360577,46.52181254,8.8,-12.73,-48.78,0.85,0.111, ,112.0360127,46.52169398
112.0408102,8.925529913,36284,07 28 09.83,+08 55 31.8,4.33,112.0409561,8.92550376,8.2,-59.29,10.76,0.93,1.425, ,112.0408102,8.92552991
112.0475731,-58.07287178,36287,07 28 11.42,-58 04 22.4,6.52,112.0475688,-58.07288277,4.93,0.93,4.52,0.54,0.936, ,112.0475731,-58.07287178
112.0957626,-37.81016835,36304,07 28 22.98,-37 48 36.2,6.54,112.0957644,-37.81005448,9.43,-0.58,-46.85,0.57,0.061, ,112.0957626,-37.81016835
112.1430908,-10.04375075,36320,07 28 34.35,-10 02 37.5,6.63,112.143116,-10.04375765,1.76,-10.2,2.84,0.8,-0.101, ,112.1430908,-10.04375075
112.1662629,27.55293843,36325,07 28 39.89,+27 33 10.4,6.36,112.1662162,27.55287954,10.16,17.01,24.23,1.06,1.223, ,112.1662629,27.55293843
112.171163,-29.11867905,36328,07 28 41.04,-29 07 07.0,6.67,112.1710006,-29.11862273,8.87,58.37,-23.17,0.66,1.125, ,112.171163,-29.11867905
112.1814013,47.9207535,36334,07 28 43.57,+47 55 15.4,6.66,112.181548,47.92093093,4.81,-40.45,-73,0.89,1.474,P,112.1814013,47.9207535
112.1968892,15.10982252,36340,07 28 47.26,+15 06 35.5,6.23,112.1969082,15.10985983,4.24,-7.54,-15.35,0.76,-0.04, ,112.1968892,15.10982252
112.213132,-31.84840087,36345,07 28 51.16,-31 50 54.3,5.95,112.2131651,-31.84841156,5.6,-11.55,4.4,0.92,-0.156, ,112.213132,-31.84840087
112.2142033,-64.50980452,36346,07 28 51.40,-64 30 35.2,6.38,112.214173,-64.5097841,4.79,5.36,-8.4,0.49,1.554, ,112.2142033,-64.50980452
112.2145094,48.18392976,36348,07 28 51.49,+48 11 02.5,5.7,112.214521,48.18403758,7.95,-3.18,-44.36,0.88,-0.092, ,112.2145095,48.18392976
112.2192757,46.31461764,36351,07 28 52.66,+46 18 53.2,6.42,112.2194221,46.31477733,9.67,-41.6,-65.7,0.91,1.202, ,112.2192757,46.31461764
112.2361761,-34.91837198,36355,07 28 56.69,-34 55 06.2,6.92,112.2362014,-34.91839048,3.26,-8.53,7.61,0.6,-0.118, ,112.2361761,-34.91837198
112.2704756,-31.45621622,36362,07 29 04.92,-31 27 22.4,5.78,112.2705053,-31.45622952,2.85,-10.44,5.47,0.56,-0.185, ,112.2704756,-31.45621622
112.2737303,-38.81206499,36363,07 29 05.71,-38 48 43.6,5.41,112.2737958,-38.8121049,5.86,-21.01,16.42,0.51,-0.148, ,112.2737303,-38.81206499
112.2741001,-18.87521414,36364,07 29 05.79,-18 52 30.8,6.94,112.2741134,-18.87521956,2.48,-5.19,2.23,0.97,1.2, ,112.2741001,-18.87521414
112.277996,31.78455041,36366,07 29 06.61,+31 47 02.7,4.16,112.2775405,31.78407932,54.06,159.33,193.82,0.95,0.32, ,112.277996,31.78455041
112.2971964,12.76002167,36371,07 29 11.33,+12 45 36.2,6.58,112.2972161,12.7600669,9.61,-7.92,-18.61,0.93,0.227, ,112.2971964,12.76002167
112.3076264,-43.30143257,36377,07 29 13.88,-43 18 06.8,3.25,112.3078263,-43.30189129,17.74,-59.86,188.73,0.47,1.509, ,112.3076264,-43.30143257
112.3277858,-1.905328915,36388,07 29 18.68,-01 54 19.1,5.6,112.327814,-1.90530704,2,-11.58,-9,0.94,1.493, ,112.3277858,-1.90532891
112.3284431,6.582111585,36389,07 29 18.86,+06 34 55.5,6.58,112.3285632,6.58209095,7.14,-49.09,8.49,0.95,1.003, ,112.3284431,6.58211159
112.3351722,28.1182752,36393,07 29 20.46,+28 07 06.3,5.07,112.3352639,28.1184038,20,-33.3,-52.91,0.97,0.12, ,112.3351722,28.1182752
112.3410965,-14.99865669,36395,07 29 21.98,-14 59 53.1,6.05,112.341569,-14.99809455,29.31,-187.77,-231.28,0.92,0.479, ,112.3410966,-14.99865669
112.3421112,-10.32666364,36396,07 29 22.11,-10 19 36.0,5.75,112.3421284,-10.326657,3.52,-6.96,-2.73,0.81,1.616, ,112.3421112,-10.32666364
112.3568329,-7.55116823,36399,07 29 25.61,-07 33 05.3,5.86,112.3567084,-7.55147431,35.95,50.78,125.93,3.07,0.487, ,112.3568329,-7.55116823
112.3780929,19.63317234,36411,07 29 30.73,+19 37 59.5,6.73,112.3780498,19.63318126,4.84,16.71,-3.67,1.17,1.28, ,112.3780929,19.63317234
112.4490952,12.0065642,36425,07 29 47.78,+12 00 23.8,4.55,112.4490921,12.00661101,5.82,1.26,-19.26,0.79,1.276, ,112.4490952,12.0065642
112.4531889,27.91614658,36429,07 29 48.78,+27 54 58.3,5.01,112.4532548,27.91619925,8.51,-23.96,-21.67,0.99,1.117, ,112.4531889,27.91614658
112.4642186,-23.02428723,36431,07 29 51.41,-23 01 27.5,4.85,112.4642256,-23.02429924,1.01,-2.65,4.94,0.64,0.243,P,112.4642186,-23.02428723
112.4831505,49.67246274,36439,07 29 55.86,+49 40 21.6,5.35,112.4827359,49.67266207,50.25,110.4,-82.01,0.81,0.47, ,112.4831505,49.67246274
112.4988471,-52.65115746,36444,07 29 59.74,-52 39 04.6,5.87,112.4989373,-52.65128759,9.87,-22.51,53.54,0.55,1.01, ,112.4988471,-52.65115746
112.5090122,-19.52665121,36452,07 30 02.16,-19 31 35.9,6.72,112.5090166,-19.52664927,2.61,-1.71,-0.8,0.82,1.491, ,112.5090122,-19.52665121
112.5430804,38.16947012,36463,07 30 10.32,+38 10 10.6,6.99,112.5430039,38.16961503,15.47,24.73,-59.62,1,0.498, ,112.5430804,38.16947012
112.5773496,-40.98921694,36474,07 30 18.57,-40 59 21.0,6.55,112.5773947,-40.98917348,7.53,-14,-17.88,0.53,0.96, ,112.5773496,-40.98921694
112.6191589,-50.60897186,36489,07 30 28.60,-50 36 32.5,6.55,112.6191545,-50.60901444,8.55,1.16,17.52,0.5,-0.021, ,112.6191589,-50.60897186
112.6211726,2.262253682,36492,07 30 29.08,+02 15 44.1,6.96,112.6211827,2.26226039,1.28,-4.17,-2.76,0.83,1.389, ,112.6211726,2.26225368
112.6288315,-54.39936495,36496,07 30 30.91,-54 23 58.0,5.95,112.6287761,-54.39943169,7.53,13.27,27.46,0.53,1.585, ,112.6288315,-54.39936495
112.6400124,5.254640432,36499,07 30 33.61,+05 15 16.8,6.91,112.6400351,5.25466063,4.27,-9.29,-8.31,1.05,0.029, ,112.6400124,5.25464043
112.67713,-37.33936076,36515,07 30 42.58,-37 20 22.2,6.66,112.6773985,-37.33949152,45.93,-87.82,53.8,0.58,0.641, ,112.67713,-37.33936076
112.6775087,-30.96228109,36514,07 30 42.61,-30 57 44.2,4.65,112.677542,-30.96228313,1.86,-11.74,0.84,0.53,0.904, ,112.6775087,-30.96228109
112.6977835,-9.776889809,36521,07 30 47.47,-09 46 36.8,6.81,112.697787,-9.77689783,1.45,-1.39,3.3,0.82,1.096, ,112.6977835,-9.77688981
112.7130578,-5.226493699,36526,07 30 51.14,-05 13 35.3,6.24,112.7130733,-5.22648597,0.39,-6.36,-3.18,0.92,1.185, ,112.7130578,-5.2264937
112.7195659,68.46562083,36528,07 30 52.70,+68 27 56.6,5.63,112.7195806,68.465727,7.2,-2.22,-43.68,0.65,1.1, ,112.7195659,68.46562083
112.7366355,51.99872205,36536,07 30 56.80,+51 59 55.6,6.79,112.7366472,51.99876677,9.36,-2.97,-18.4,0.9,0.21, ,112.7366355,51.99872205
112.7446263,-10.1075252,36539,07 30 58.71,-10 06 27.1,6.6,112.744627,-10.10751888,3.14,-0.28,-2.6,0.85,1.622, ,112.7446263,-10.1075252
112.7462784,-2.1648881,36541,07 30 59.11,-02 09 53.6,6.96,112.7462959,-2.16487602,2.74,-7.19,-4.97,1.49,0.88, ,112.7462784,-2.1648881
112.7685993,82.41146587,36547,07 31 04.48,+82 24 41.6,4.92,112.7686676,82.41156871,6.89,-3.71,-42.31,0.55,1.633, ,112.7685993,82.41146587
112.7865996,11.20297863,36553,07 31 08.79,+11 12 10.8,6.38,112.7866435,11.20301302,4.58,-17.74,-14.15,0.77,1.278, ,112.7865996,11.20297863
112.8223352,-1.12587823,36565,07 31 17.36,-01 07 33.1,6.57,112.8223242,-1.12585847,7.03,4.55,-8.13,0.84,1.072, ,112.8223352,-1.12587823
112.8329814,-14.96560012,36569,07 31 19.92,-14 57 56.1,6.95,112.8330025,-14.96557749,6.81,-8.41,-9.31,0.94,1.006, ,112.8329814,-14.96560012
112.8573628,-36.15325568,36582,07 31 25.78,-36 09 11.8,6.66,112.8574022,-36.15327279,3.52,-13.11,7.04,0.56,-0.119, ,112.8573628,-36.15325568
112.9279281,-35.88781372,36608,07 31 42.71,-35 53 16.2,6.61,112.9279431,-35.88782381,3.69,-4.98,4.15,0.68,-0.076,P,112.9279281,-35.88781372
112.9516539,17.08604591,36616,07 31 48.37,+17 05 10.4,5.45,112.9515455,17.08622915,10.81,42.65,-75.39,0.75,1.126, ,112.9516539,17.08604591
112.9818109,38.89606775,36624,07 31 55.66,+38 53 46.0,6.56,112.9819332,38.89612387,10.61,-39.16,-23.09,0.87,0.077, ,112.9818109,38.89606775
112.9924146,-5.942654448,36629,07 31 58.19,-05 56 33.5,6.84,112.9924376,-5.94264599,-0.07,-9.41,-3.48,0.97,1.304, ,112.9924146,-5.94265445
112.9968754,12.66130242,36631,07 31 59.25,+12 39 41.0,6.51,112.9968727,12.66139818,7.16,1.08,-39.4,0.81,1, ,112.9968754,12.66130242
113.0092322,61.75778376,36634,07 32 02.24,+61 45 29.1,6.68,113.0093194,61.75807258,6.65,-16.98,-118.83,0.77,0.989, ,113.0092322,61.75778376
113.0111762,2.725402824,36636,07 32 02.70,+02 43 31.5,6.86,113.0112316,2.72542922,7.78,-22.77,-10.86,0.93,0.069, ,113.0111762,2.72540282
113.0240114,-8.881325677,36640,07 32 05.82,-08 52 51.3,5.9,113.0242383,-8.88091851,33.4,-92.2,-167.52,0.93,0.54, ,113.0240114,-8.88132568
113.0247871,1.914480909,36641,07 32 05.95,+01 54 52.1,5.24,113.0247923,1.91448227,4.14,-2.12,-0.56,0.76,0.23, ,113.0247871,1.91448091
113.0927973,-35.96118827,36657,07 32 22.28,-35 57 40.3,6.35,113.0928389,-35.96119858,4.41,-13.83,4.24,0.55,-0.096, ,113.0927973,-35.96118827
113.1438502,21.40775531,36663,07 32 34.53,+21 24 28.2,6.81,113.1438722,21.40784578,6.92,-8.45,-37.22,0.99,0.979, ,113.1438502,21.40775531
113.1922854,-53.55524264,36682,07 32 46.16,-53 33 18.9,6.98,113.1923205,-53.55526247,1.72,-8.59,8.16,0.55,-0.085, ,113.1922854,-53.55524264
113.2056235,-2.034372979,36687,07 32 49.37,-02 02 03.6,6.82,113.2056896,-2.03434617,6.4,-27.18,-11.03,0.87,-0.023, ,113.2056235,-2.03437298
113.2109447,22.88760613,36690,07 32 50.64,+22 53 15.5,6.54,113.2109995,22.88764436,6.88,-20.77,-15.73,1.36,0.998, ,113.2109447,22.88760613
113.2907352,-24.71073141,36721,07 33 09.78,-24 42 38.8,5.84,113.2907401,-24.71078019,10.66,-1.83,20.07,0.77,0.156, ,113.2907352,-24.71073141
113.2986082,3.290378845,36723,07 33 11.68,+03 17 25.0,5.59,113.2986465,3.29027472,23.44,-15.73,42.84,0.77,0.321, ,113.2986082,3.29037884
113.3048262,-40.05852223,36728,07 33 13.17,-40 03 30.7,6.27,113.304877,-40.05853613,4.85,-15.99,5.72,0.51,-0.129, ,113.3048262,-40.05852223
113.3055182,-43.08619892,36729,07 33 13.32,-43 05 10.1,6.53,113.3055099,-43.0861356,6.42,2.48,-26.05,0.49,0.918, ,113.3055182,-43.08619892
113.3315196,-19.41252479,36732,07 33 19.55,-19 24 44.5,5.64,113.3314575,-19.41235409,11.15,24.1,-70.23,0.7,1.121, ,113.3315196,-19.41252479
113.3408447,-68.76852656,36735,07 33 21.81,-68 46 06.6,6.6,113.3408799,-68.76849931,6.27,-5.25,-11.21,0.49,0.03, ,113.3408447,-68.76852656
113.3424382,-14.33830692,36736,07 33 22.19,-14 20 17.9,6.21,113.342447,-14.33830668,2.16,-3.5,-0.1,0.8,-0.061, ,113.3424382,-14.33830692
113.3526188,15.63913111,36739,07 33 24.64,+15 38 20.9,6.64,113.3526592,15.63914844,5.23,-16.01,-7.13,0.8,1.071, ,113.3526188,15.63913111
113.3534517,37.18789709,36740,07 33 24.83,+37 11 16.4,6.4,113.3534534,37.18788282,6.16,-0.55,5.87,1.1,1.231, ,113.3534517,37.18789709
113.3638282,-50.58425535,36745,07 33 27.32,-50 35 03.4,6.69,113.3638395,-50.58426823,0.83,-2.96,5.3,0.52,-0.087, ,113.3638282,-50.58425535
113.3645302,11.01171232,36746,07 33 27.50,+11 00 42.3,6.8,113.3645662,11.01175145,2.19,-14.52,-16.1,0.87,0.7,P,113.3645302,11.01171232
113.4020051,15.82666172,36760,07 33 36.50,+15 49 36.1,5.27,113.4020791,15.82669239,8.69,-29.28,-12.62,0.71,0.055, ,113.4020051,15.82666172
113.4498467,-14.52389229,36773,07 33 47.97,-14 31 26.0,4.82,113.4498661,-14.52390109,0.97,-7.73,3.62,0.77,1.362,P,113.4498467,-14.52389229
113.4593724,-43.11373094,36775,07 33 50.25,-43 06 49.4,6.68,113.4593716,-43.11373014,3.12,0.24,-0.33,0.52,1.758, ,113.4593724,-43.11373094
113.4626803,-36.33839158,36778,07 33 51.05,-36 20 18.2,5.42,113.4627062,-36.33840157,2.56,-8.59,4.11,0.49,-0.078, ,113.4626803,-36.33839158
113.4646539,51.31414664,36779,07 33 51.53,+51 18 51.1,6.44,113.4646986,51.31420147,3.73,-11.48,-22.56,1.01,1.348, ,113.464654,51.31414664
113.4681913,-28.56771043,36780,07 33 52.38,-28 34 03.9,6.77,113.4682673,-28.56774711,7.46,-27.43,15.09,0.68,0.308, ,113.4681914,-28.56771043
113.4928349,-39.90580678,36787,07 33 58.31,-39 54 21.4,6.76,113.4929662,-39.90593249,5.81,-41.43,51.72,0.58,1.129, ,113.4928349,-39.90580678
113.5132521,-22.29606692,36795,07 34 03.21,-22 17 46.3,4.44,113.5133581,-22.29618077,38.91,-40.38,46.84,0.66,0.521, ,113.5132521,-22.29606692
113.5206815,10.56807636,36796,07 34 04.98,+10 34 05.2,6.28,113.5207573,10.56811357,7.76,-30.67,-15.31,0.79,0.022, ,113.5206815,10.56807636
113.5534405,-33.46343022,36807,07 34 12.86,-33 27 48.9,6.11,113.5536034,-33.46358395,11.37,-55.92,63.25,0.58,0.297, ,113.5534405,-33.46343022
113.553977,-20.13741271,36808,07 34 12.96,-20 08 14.7,6.93,113.5539939,-20.13741922,1.28,-6.51,2.68,0.74,-0.17, ,113.553977,-20.13741271
113.5548198,-16.18776774,36809,07 34 13.20,-16 11 17.1,6.72,113.5550205,-16.18809032,17.16,-79.31,132.72,0.8,0.61, ,113.5548198,-16.18776774
